2022-04-27 23:38:24.676 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.676 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010121002
2022-04-27 23:38:24.676 [main] INFO  org.apache.logging.log4j.LogManager - Human: 210121002
2022-04-27 23:38:24.677 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.677 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 1
2022-04-27 23:38:24.677 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000010000
2022-04-27 23:38:24.678 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000010002
2022-04-27 23:38:24.678 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 2
2022-04-27 23:38:24.678 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000011002
2022-04-27 23:38:24.679 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 000211002->000112200
2022-04-27 23:38:24.679 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000112200
2022-04-27 23:38:24.679 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.679 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010112200
2022-04-27 23:38:24.680 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 012112200->002211210
2022-04-27 23:38:24.680 [main] INFO  org.apache.logging.log4j.LogManager - Board state 002211210
2022-04-27 23:38:24.680 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.680 [main] INFO  org.apache.logging.log4j.LogManager - Menace: 012211210
2022-04-27 23:38:24.681 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.681 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 2
2022-04-27 23:38:24.681 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000001000
2022-04-27 23:38:24.682 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 000021000->000020010
2022-04-27 23:38:24.682 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020010
2022-04-27 23:38:24.683 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 0
2022-04-27 23:38:24.683 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000120010
2022-04-27 23:38:24.684 [main] INFO  org.apache.logging.log4j.LogManager - Board state 002120010
2022-04-27 23:38:24.684 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 2
2022-04-27 23:38:24.684 [main] INFO  org.apache.logging.log4j.LogManager - Board state 002120011
2022-04-27 23:38:24.684 [main] INFO  org.apache.logging.log4j.LogManager - Human: 002120211
2022-04-27 23:38:24.685 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.685 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 0
2022-04-27 23:38:24.685 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000100000
2022-04-27 23:38:24.686 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 000120000->000020010
2022-04-27 23:38:24.686 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020010
2022-04-27 23:38:24.686 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 0
2022-04-27 23:38:24.687 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020110
2022-04-27 23:38:24.688 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020112
2022-04-27 23:38:24.688 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.688 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010020112
2022-04-27 23:38:24.688 [main] INFO  org.apache.logging.log4j.LogManager - Human: 210020112
2022-04-27 23:38:24.689 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.690 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 0
2022-04-27 23:38:24.690 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000100000
2022-04-27 23:38:24.691 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 000120000->000020010
2022-04-27 23:38:24.691 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020010
2022-04-27 23:38:24.691 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 0
2022-04-27 23:38:24.691 [main] INFO  org.apache.logging.log4j.LogManager - Board state 100020010
2022-04-27 23:38:24.692 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 100020012->001020210
2022-04-27 23:38:24.692 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001020210
2022-04-27 23:38:24.692 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 0
2022-04-27 23:38:24.692 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001120210
2022-04-27 23:38:24.693 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 201120210->001120212
2022-04-27 23:38:24.693 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001120212
2022-04-27 23:38:24.693 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 0
2022-04-27 23:38:24.693 [main] INFO  org.apache.logging.log4j.LogManager - Board state 101120212
2022-04-27 23:38:24.694 [main] INFO  org.apache.logging.log4j.LogManager - Board state 121120212
2022-04-27 23:38:24.694 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 2
2022-04-27 23:38:24.694 [main] INFO  org.apache.logging.log4j.LogManager - Draw: 121121212
2022-04-27 23:38:24.695 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.695 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.695 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010000000
2022-04-27 23:38:24.696 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 010020000->000020010
2022-04-27 23:38:24.696 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020010
2022-04-27 23:38:24.696 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 0
2022-04-27 23:38:24.696 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020110
2022-04-27 23:38:24.697 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020112
2022-04-27 23:38:24.697 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 2
2022-04-27 23:38:24.697 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001020112
2022-04-27 23:38:24.697 [main] INFO  org.apache.logging.log4j.LogManager - Human: 201020112
2022-04-27 23:38:24.698 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.698 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 2, 2
2022-04-27 23:38:24.698 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000001
2022-04-27 23:38:24.699 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020001
2022-04-27 23:38:24.699 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 0
2022-04-27 23:38:24.699 [main] INFO  org.apache.logging.log4j.LogManager - Board state 100020001
2022-04-27 23:38:24.700 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 102020001->001020102
2022-04-27 23:38:24.700 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001020102
2022-04-27 23:38:24.700 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.700 [main] INFO  org.apache.logging.log4j.LogManager - Board state 011020102
2022-04-27 23:38:24.700 [main] INFO  org.apache.logging.log4j.LogManager - Human: 211020102
2022-04-27 23:38:24.701 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.701 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 1
2022-04-27 23:38:24.701 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000010000
2022-04-27 23:38:24.702 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 200010000->000010002
2022-04-27 23:38:24.702 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000010002
